Date,Open,High,Low,Close,Volume,Adj Close
2014-04-11,25.40,25.40,24.95,25.10,535000,25.10
2014-04-10,25.19,25.50,25.18,25.33,1087700,25.33
2014-04-09,25.45,25.99,24.91,25.05,639100,25.05
2014-04-08,25.56,26.01,25.18,25.28,434000,25.28
2014-04-07,24.98,25.70,24.98,25.39,891900,25.39
2014-04-04,25.50,25.50,24.81,24.87,1732000,24.87
2014-04-03,24.85,25.20,24.83,24.96,1154500,24.96
2014-04-02,25.59,25.59,24.95,24.98,2707500,24.98
2014-04-01,25.57,26.47,25.30,25.48,828800,25.48
2014-03-31,26.29,26.55,25.78,26.10,1483700,26.10
2014-03-28,26.04,26.50,26.03,26.24,725300,26.24
2014-03-27,26.13,26.49,26.00,26.17,669100,26.17
2014-03-26,26.26,26.50,26.03,26.13,1214700,26.13
2014-03-25,26.40,26.50,26.24,26.40,386600,26.40
2014-03-24,26.50,26.50,26.26,26.40,331400,26.40
2014-03-21,26.44,26.57,26.30,26.46,538000,26.46
2014-03-20,25.61,26.69,25.60,26.39,1218700,26.39
2014-03-19,26.32,26.97,25.88,26.51,17297500,26.51
2014-03-18,26.96,27.00,26.45,26.62,1340900,26.62
2014-03-17,26.91,26.91,26.91,26.91,000,26.91
2014-03-14,27.00,27.00,26.75,26.91,501800,26.91
2014-03-13,27.06,27.15,26.80,26.94,2158700,26.94
2014-03-12,27.20,27.20,26.13,27.04,685500,27.04
2014-03-11,26.78,27.20,26.78,27.11,2027600,27.11
2014-03-10,27.05,27.20,26.63,26.97,1209800,26.97
2014-03-07,27.40,27.40,27.01,27.05,696200,27.05
2014-03-06,27.00,27.95,26.78,27.38,3468100,27.38
2014-03-05,26.59,27.00,25.92,26.92,2450900,26.92
2014-03-04,25.92,26.99,25.92,26.77,1845200,26.77
2014-03-03,26.56,26.72,25.52,25.92,2746400,25.92
2014-02-28,26.28,26.90,26.28,26.56,4713200,26.56
2014-02-27,26.00,26.20,25.90,26.13,1981000,26.13
2014-02-26,26.02,26.21,25.83,25.99,2107500,25.99
2014-02-25,25.89,26.15,25.62,25.85,1335000,25.85
2014-02-24,26.15,26.25,25.42,25.78,224400,25.78
2014-02-21,26.20,26.20,25.97,26.15,610700,26.15
2014-02-20,25.50,26.20,24.92,26.08,939200,26.08
2014-02-19,25.63,25.63,25.24,25.35,431900,25.35
2014-02-18,25.70,25.79,25.50,25.58,316300,25.58
2014-02-17,25.27,25.80,25.27,25.70,54500,25.70
2014-02-14,25.28,25.75,24.73,25.08,933500,25.08
2014-02-13,24.70,25.68,24.70,25.37,558100,25.37
2014-02-12,24.99,24.99,24.51,24.71,1504600,24.71
2014-02-11,24.70,25.19,24.48,24.58,1010400,24.58
2014-02-10,24.89,25.19,24.51,24.63,662300,24.63
2014-02-07,24.91,25.00,23.71,24.91,988300,24.91
2014-02-06,24.99,25.05,24.07,24.80,1882900,24.80
2014-02-05,23.75,25.00,23.71,24.98,1497600,24.98
