Hechos Intradia,,,,,,
,,,,,,
"Razon Social: PLA ADMINISTRADORA INDUSTRIAL, S. DE R.L. DE C.V. (FIBRA TERRA)",,,,,,
Ticker: TERRA,,,,,,
Serie: 13,,,,,,
Fecha Inicial: 8/11/2014,,,,,,
Fecha Final: 8/15/2014,,,,,,
,,,,,,
Hechos,,,,,,
,,,,,,
FECHA,HORA,COMPRADOR,VENDEDOR,VOLUMEN,PRECIO,IMPORTE
8/11/2014,10:54:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:55:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:55:00 AM,GRUPO BURSATIL MEXICANO,CITIBANK,100,29.9,2990
8/11/2014,10:56:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:58:00 AM,VALORES FINAMEX,INTERACCIONES CASA DE BOL,100,29.89,2989
8/11/2014,10:58:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:59:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,11:00:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,11:01:00 AM,VALORES FINAMEX,VECTOR CASA DE BOLSA,800,29.89,23912
8/11/2014,11:01:00 AM,VALORES FINAMEX,VECTOR CASA DE BOLSA,874,29.89,26123.86
8/11/2014,11:01:00 AM,VALORES FINAMEX,INTERACCIONES CASA DE BOL,200,29.89,5978
8/11/2014,11:01:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,11:02:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,11:04:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,11:04:00 AM,GRUPO BURSATIL MEXICANO,CITIBANK,200,29.9,5980
8/11/2014,11:04:00 AM,GRUPO BURSATIL MEXICANO,INTERACCIONES CASA DE BOL,100,29.88,2988
8/11/2014,11:05:00 AM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,29.78,2978
8/11/2014,11:05:00 AM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,29.78,2978
8/11/2014,11:06:00 AM,MORGAN STANLEY MEXICO CAS,MORGAN STANLEY MEXICO CAS,100,29.75,2975
8/11/2014,11:07:00 AM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:08:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:10:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:11:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:12:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:13:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:14:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:15:00 AM,GRUPO BURSATIL MEXICANO,INTERACCIONES CASA DE BOL,100,29.86,2986
8/11/2014,11:16:00 AM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,29.77,2977
8/11/2014,11:17:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:18:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:19:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:20:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:22:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:23:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:24:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:25:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:26:00 AM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,29.76,2976
8/11/2014,11:26:00 AM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,100,29.77,2977
